iter	Logloss
0	0.6913701348
1	0.6890901068
2	0.6873659466
3	0.6853612817
4	0.6836774246
5	0.6814935933
6	0.6801509028
7	0.678139728
8	0.6764073994
9	0.6747669552
10	0.6728504015
11	0.6713733258
12	0.669763648
13	0.6681785998
14	0.6663585746
15	0.6646789468
16	0.6633836912
17	0.6618754345
18	0.6601640867
19	0.6584494218
20	0.6566073376
21	0.6551625625
22	0.6535564091
23	0.652072326
24	0.6507401674
25	0.6492314961
26	0.6480855942
27	0.6466746538
28	0.6451408137
29	0.6436960801
30	0.6421835526
31	0.6404567387
32	0.6387252808
33	0.6370102012
34	0.6363034041
35	0.6349274594
36	0.6335127043
37	0.6320146478
38	0.6303120489
39	0.629285066
40	0.6279267021
41	0.6268724359
42	0.6259125419
43	0.6243812312
44	0.6232424197
45	0.6217379363
46	0.620303776
47	0.6190117546
48	0.6179098046
49	0.6162919169
